epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
77,18.212797,1.38871997e-02,1.46967039e-02,1.32206799e-02,1.38366072e-02,1.81674357e-03,4.86744013e-05,1.52934963e-03,4.93640761e-05,1.00000000e-03
78,18.763172,1.19100843e-02,1.24168681e-02,1.12768345e-02,1.15808398e-02,1.26539015e-03,4.69251698e-05,1.11188480e-03,4.95337074e-05,1.00000000e-03
79,18.549283,1.14163229e-02,1.18986448e-02,1.30248174e-02,1.37822101e-02,1.19542086e-03,4.61572309e-05,1.54189546e-03,4.99671104e-05,1.00000000e-03
80,18.723270,1.29642576e-02,1.36052948e-02,1.22407101e-02,1.27484448e-02,1.50171762e-03,4.69960082e-05,1.29666749e-03,4.91827705e-05,1.00000000e-03
81,18.075201,1.17954092e-02,1.22717336e-02,1.20175868e-02,1.24497794e-02,1.21894266e-03,4.49012105e-05,1.24228162e-03,4.78335399e-05,1.00000000e-03
82,18.572023,1.18828126e-02,1.24050156e-02,1.33844149e-02,1.42283671e-02,1.25999668e-03,4.44085420e-05,1.55214589e-03,4.89001621e-05,1.00000000e-03
83,17.296999,1.34500607e-02,1.41844002e-02,1.76712079e-02,1.91904125e-02,1.73306358e-03,4.47053041e-05,3.05884763e-03,4.40847976e-05,1.00000000e-03
84,17.310231,1.19461332e-02,1.24836324e-02,9.40612812e-03,9.63892728e-03,1.29665487e-03,4.30496304e-05,7.76168174e-04,4.38010710e-05,1.00000000e-03
85,18.154519,1.25024028e-02,1.31009644e-02,1.06834707e-02,1.10542918e-02,1.45630855e-03,4.31393398e-05,9.93704484e-04,4.42535090e-05,1.00000000e-03
86,17.319002,1.22208879e-02,1.27744753e-02,1.24744704e-02,1.29454828e-02,1.31968836e-03,4.23728325e-05,1.37097548e-03,4.41091986e-05,1.00000000e-03
87,17.253944,1.38125877e-02,1.46065842e-02,1.69145933e-02,1.79742973e-02,1.75150708e-03,4.28203375e-05,2.49034892e-03,4.69406822e-05,1.00000000e-03
88,17.393537,1.56555923e-02,1.66232703e-02,1.04984232e-02,1.07834859e-02,2.31972870e-03,4.56551551e-05,9.74932863e-04,4.35800024e-05,1.00000000e-03
89,17.837164,1.23677938e-02,1.29764003e-02,1.84364348e-02,1.93400554e-02,1.39345916e-03,4.17292293e-05,2.89030878e-03,4.71574356e-05,1.00000000e-03
90,18.114656,1.28677019e-02,1.34683560e-02,1.63206602e-02,1.73718558e-02,1.51284294e-03,4.18050954e-05,2.36676511e-03,4.73119336e-05,1.00000000e-03
91,17.525003,1.76021331e-02,1.88160649e-02,1.49268203e-02,1.65112752e-02,2.90452843e-03,4.31787453e-05,2.11598698e-03,4.24658025e-05,1.00000000e-03
92,17.587130,1.31422654e-02,1.38369596e-02,1.31002657e-02,1.39853189e-02,1.55198557e-03,4.02775116e-05,1.56494326e-03,4.16791099e-05,1.00000000e-03
93,18.277870,1.32552502e-02,1.39458359e-02,1.00608084e-02,1.03903934e-02,1.58908174e-03,4.08882608e-05,9.12603998e-04,4.12198326e-05,1.00000000e-03
94,18.269393,1.06558982e-02,1.10315294e-02,1.47182959e-02,1.52797174e-02,1.00354340e-03,3.92992078e-05,1.85001154e-03,4.44398800e-05,1.00000000e-03
95,17.559070,1.32708271e-02,1.39931127e-02,1.56870088e-02,1.65011723e-02,1.61328230e-03,3.91144084e-05,2.16679570e-03,4.13305101e-05,1.00000000e-03
96,17.715651,1.28608925e-02,1.34506232e-02,1.19270526e-02,1.27553986e-02,1.50833106e-03,3.96592674e-05,1.34741063e-03,3.83829117e-05,1.00000000e-03
97,17.449212,1.18629222e-02,1.24836632e-02,1.56197943e-02,1.63198934e-02,1.30370755e-03,3.86914748e-05,2.09612641e-03,4.08333707e-05,1.00000000e-03
98,17.475845,1.26852568e-02,1.33516964e-02,1.31012805e-02,1.40866445e-02,1.45342270e-03,3.82462312e-05,1.67516468e-03,3.78586390e-05,1.00000000e-03
99,17.502090,1.24681432e-02,1.30754311e-02,1.24721819e-02,1.30272982e-02,1.38957636e-03,3.84738890e-05,1.37975659e-03,3.94637698e-05,5.00000000e-04
100,17.644298,8.87004709e-03,9.15511777e-03,8.03476270e-03,8.24708704e-03,7.09328381e-04,3.63258562e-05,5.94285027e-04,3.71300570e-05,5.00000000e-04
