epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
65,5.195707,1.00429123e+00,7.25719826e-01,1.00286436e+00,1.00382581e+00,1.68739027e+04,3.39714538e+02,1.56067381e+04,3.18688261e+02,1.00000000e-03
66,5.166821,1.00616280e+00,7.27187131e-01,1.00256697e+00,1.00347385e+00,1.70359091e+04,3.38580598e+02,1.56081410e+04,3.16625247e+02,1.00000000e-03
67,4.907359,1.00480202e+00,7.26105143e-01,1.00194767e+00,1.00280892e+00,1.68909502e+04,3.34698765e+02,1.55800911e+04,3.14938879e+02,1.00000000e-03
68,5.019863,1.00456856e+00,7.25917255e-01,1.00203414e+00,1.00289595e+00,1.69286183e+04,3.34369273e+02,1.55798933e+04,3.13934662e+02,1.00000000e-03
69,5.308588,1.00450123e+00,7.25867359e-01,1.00188149e+00,1.00275779e+00,1.70810413e+04,3.36060953e+02,1.55778481e+04,3.13056276e+02,1.00000000e-03
70,5.136356,1.00357105e+00,7.25132666e-01,1.00224377e+00,1.00313902e+00,1.68965150e+04,3.30989728e+02,1.55935379e+04,3.10937364e+02,1.00000000e-03
71,4.909479,1.00464353e+00,7.25980919e-01,1.00222991e+00,1.00314209e+00,1.70127868e+04,3.30904538e+02,1.55878567e+04,3.10346898e+02,1.00000000e-03
72,4.787048,1.00417492e+00,7.25598054e-01,1.00100314e+00,1.00175314e+00,1.69130992e+04,3.28201519e+02,1.55660720e+04,3.08789414e+02,1.00000000e-03
73,4.942938,1.00349483e+00,7.25061509e-01,1.00081105e+00,1.00154652e+00,1.68600173e+04,3.25727868e+02,1.55678675e+04,3.07350817e+02,1.00000000e-03
74,4.869419,1.00374388e+00,7.25251974e-01,1.00337260e+00,1.00434639e+00,1.68578069e+04,3.24652275e+02,1.56342948e+04,3.07068435e+02,1.00000000e-03
75,4.944397,1.00586118e+00,7.26911910e-01,1.00339160e+00,1.00438482e+00,1.69022236e+04,3.23810044e+02,1.56375594e+04,3.05794751e+02,1.00000000e-03
76,4.873601,1.00542037e+00,7.26563834e-01,1.00221336e+00,1.00311409e+00,1.70648273e+04,3.25687592e+02,1.56127725e+04,3.05104812e+02,1.00000000e-03
77,5.325465,1.00510497e+00,7.26312893e-01,1.00264354e+00,1.00356842e+00,1.70513257e+04,3.23843271e+02,1.56179898e+04,3.04064368e+02,1.00000000e-03
78,5.094400,1.00403503e+00,7.25479303e-01,1.00007625e+00,1.00076666e+00,1.71017720e+04,3.24214172e+02,1.55688153e+04,3.02804859e+02,1.00000000e-03
79,5.179009,9.98848186e-01,7.21462329e-01,9.95391957e-01,9.95830126e-01,1.67399432e+04,3.16385797e+02,1.54158669e+04,2.97219092e+02,1.00000000e-03
80,5.017316,9.96024155e-01,7.19301853e-01,9.95917077e-01,9.96375346e-01,1.66509355e+04,3.14350334e+02,1.54254847e+04,2.96910724e+02,1.00000000e-03
81,5.216007,9.96443137e-01,7.19623104e-01,9.95884739e-01,9.96355226e-01,1.66974101e+04,3.14028272e+02,1.54297218e+04,2.96365206e+02,1.00000000e-03
82,5.395268,9.96003034e-01,7.19290589e-01,9.89325915e-01,9.89495635e-01,1.66285752e+04,3.11235594e+02,1.50506341e+04,2.89022353e+02,1.00000000e-03
83,5.419357,9.89125351e-01,7.14104286e-01,9.88945108e-01,9.89107380e-01,1.62394002e+04,3.03852512e+02,1.50155001e+04,2.87117942e+02,1.00000000e-03
84,5.433884,9.90261891e-01,7.14950001e-01,9.90357031e-01,9.90562830e-01,1.62699898e+04,3.02796715e+02,1.51045940e+04,2.87583236e+02,1.00000000e-03
85,5.399393,9.90893237e-01,7.15421452e-01,9.90790038e-01,9.91009438e-01,1.63151659e+04,3.03683799e+02,1.51294484e+04,2.86904135e+02,1.00000000e-03
86,5.283402,9.91398525e-01,7.15799025e-01,9.90870524e-01,9.91089358e-01,1.63834815e+04,3.03062189e+02,1.51386076e+04,2.86374341e+02,1.00000000e-03
87,5.336043,9.91216068e-01,7.15666469e-01,9.90187884e-01,9.90397367e-01,1.65330414e+04,3.05231095e+02,1.51022321e+04,2.85284173e+02,1.00000000e-03
88,5.416711,9.90800567e-01,7.15356100e-01,9.90301243e-01,9.90515323e-01,1.64245400e+04,3.02377325e+02,1.51093230e+04,2.84841892e+02,1.00000000e-03
89,5.371732,9.91372984e-01,7.15783093e-01,9.87902024e-01,9.88029480e-01,1.63349058e+04,2.99991765e+02,1.49441359e+04,2.82543774e+02,1.00000000e-03
90,5.411330,1.00436393e+00,7.26154355e-01,9.95946517e-01,9.96664190e-01,1.68846201e+04,3.05694611e+02,1.53505052e+04,2.85147099e+02,1.00000000e-03
91,5.406442,9.94650546e-01,7.18429507e-01,9.93763428e-01,9.94274545e-01,1.66178205e+04,3.01089811e+02,1.52881461e+04,2.83642534e+02,1.00000000e-03
92,5.379287,9.94469793e-01,7.18263018e-01,9.94026087e-01,9.94521523e-01,1.65653818e+04,3.00817501e+02,1.53025491e+04,2.84578994e+02,1.00000000e-03
93,5.384458,9.95332978e-01,7.18938635e-01,9.95043585e-01,9.95626645e-01,1.66707215e+04,3.01896517e+02,1.53300490e+04,2.84469850e+02,1.00000000e-03
94,5.427215,9.95676271e-01,7.19202020e-01,9.96023116e-01,9.96683168e-01,1.65967189e+04,2.99076731e+02,1.53855088e+04,2.84909852e+02,1.00000000e-03
95,5.387980,9.98873719e-01,7.21692527e-01,9.99383046e-01,1.00029114e+00,1.66815536e+04,2.99502664e+02,1.55319372e+04,2.85152721e+02,1.00000000e-03
96,5.494124,1.00022105e+00,7.22732000e-01,9.99699173e-01,1.00063146e+00,1.68786490e+04,3.01773076e+02,1.55443058e+04,2.84061029e+02,1.00000000e-03
97,5.347801,1.00037123e+00,7.22850057e-01,9.97119373e-01,9.97923164e-01,1.70086925e+04,3.02336689e+02,1.53840769e+04,2.82820183e+02,1.00000000e-03
98,5.370911,9.94756160e-01,7.18542970e-01,9.93144247e-01,9.93674827e-01,1.64589317e+04,2.96670093e+02,1.51902150e+04,2.81913638e+02,1.00000000e-03
99,5.352794,9.94723844e-01,7.18502790e-01,9.95743752e-01,9.96400244e-01,1.65770182e+04,2.99174972e+02,1.53528097e+04,2.84399826e+02,5.00000000e-04
100,5.093340,9.96467132e-01,7.19821543e-01,9.95938468e-01,9.96604381e-01,1.66769147e+04,2.99667808e+02,1.53631253e+04,2.84138773e+02,5.00000000e-04
101,5.081668,9.96152822e-01,7.19575114e-01,9.95415871e-01,9.96028533e-01,1.66573597e+04,2.99506094e+02,1.53452646e+04,2.84017594e+02,5.00000000e-04
102,5.136321,9.96130763e-01,7.19536868e-01,9.95536700e-01,9.96137190e-01,1.66158519e+04,2.99133123e+02,1.53511790e+04,2.84879607e+02,5.00000000e-04
103,5.165947,9.96305886e-01,7.19668291e-01,9.96091329e-01,9.96714084e-01,1.66404606e+04,2.99498644e+02,1.53759085e+04,2.83843442e+02,5.00000000e-04
104,5.113118,9.96366366e-01,7.19712714e-01,9.95883054e-01,9.96493332e-01,1.66938540e+04,2.99426349e+02,1.53586272e+04,2.83666352e+02,5.00000000e-04
105,5.057284,9.96225959e-01,7.19608322e-01,9.95739614e-01,9.96348448e-01,1.67300428e+04,3.00777536e+02,1.53595160e+04,2.83461943e+02,5.00000000e-04
106,5.113251,9.97381831e-01,7.20496810e-01,9.96979426e-01,9.97660210e-01,1.66823140e+04,2.96855642e+02,1.54347465e+04,2.81638548e+02,5.00000000e-04
107,5.140991,1.00368898e+00,7.25421141e-01,1.01150776e+00,1.01338031e+00,1.69857670e+04,3.02120090e+02,1.58636076e+04,2.92884033e+02,5.00000000e-04
108,5.139315,1.01313843e+00,7.32803280e-01,1.01167216e+00,1.01357593e+00,1.72141798e+04,3.09761743e+02,1.58618761e+04,2.92677173e+02,5.00000000e-04
109,5.143702,1.01307471e+00,7.32751899e-01,1.01173637e+00,1.01363647e+00,1.72005561e+04,3.08764680e+02,1.58643393e+04,2.92460836e+02,5.00000000e-04
110,5.138065,1.01303634e+00,7.32723629e-01,1.01164019e+00,1.01354159e+00,1.71946861e+04,3.08473227e+02,1.58616477e+04,2.91876259e+02,5.00000000e-04
111,5.114235,1.01299517e+00,7.32692455e-01,1.01163371e+00,1.01353555e+00,1.72577143e+04,3.08742349e+02,1.58613299e+04,2.91407391e+02,5.00000000e-04
112,5.144534,1.01301437e+00,7.32706623e-01,1.01160577e+00,1.01350786e+00,1.72085166e+04,3.07170583e+02,1.58621939e+04,2.90875758e+02,5.00000000e-04
