epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
86,34.077091,9.67176006e-02,7.40522487e-02,6.54541165e-02,7.04965750e-02,1.31814587e-01,1.85402870e-02,1.20931135e-01,1.55114560e-02,5.00000000e-04
87,34.312275,9.62701760e-02,7.38040938e-02,1.03256871e-01,1.08221100e-01,1.32441998e-01,1.86667137e-02,1.28442870e-01,1.51699238e-02,5.00000000e-04
88,34.413191,9.35320279e-02,7.15598603e-02,8.01207702e-02,8.45290235e-02,1.37591501e-01,1.85930506e-02,1.36064267e-01,1.56742786e-02,5.00000000e-04
89,34.381380,9.46084142e-02,7.21833685e-02,1.05145952e-01,1.11972881e-01,1.36027880e-01,1.92891819e-02,1.18498950e-01,1.54679783e-02,5.00000000e-04
90,34.651840,9.50701581e-02,7.23681211e-02,1.09106026e-01,1.20387286e-01,1.32222189e-01,1.86951162e-02,1.69255164e-01,1.46088687e-02,5.00000000e-04
91,34.976700,9.33263175e-02,7.15060238e-02,7.40416913e-02,7.87930515e-02,1.37501739e-01,1.86253484e-02,1.41503910e-01,1.54486893e-02,5.00000000e-04
92,34.498368,8.81522180e-02,6.74795570e-02,5.96161814e-02,6.29458987e-02,1.30832697e-01,1.86398454e-02,1.29583305e-01,1.44119417e-02,5.00000000e-04
93,34.070470,1.00158135e-01,7.65550197e-02,8.54690874e-02,9.11896586e-02,1.31829180e-01,1.83994535e-02,1.22576218e-01,1.53589487e-02,5.00000000e-04
94,34.039188,9.27536597e-02,7.13634217e-02,6.73029409e-02,7.13208095e-02,1.38607099e-01,1.89884554e-02,1.24860792e-01,1.60770758e-02,5.00000000e-04
95,34.434693,8.94061822e-02,6.80784914e-02,7.77428178e-02,8.29881223e-02,1.26951718e-01,1.81923407e-02,1.35116367e-01,1.46187381e-02,5.00000000e-04
96,34.778655,8.83906537e-02,6.78365606e-02,6.55836317e-02,7.03199545e-02,1.25634991e-01,1.82083756e-02,1.34895993e-01,1.44068853e-02,5.00000000e-04
97,34.465115,9.81753052e-02,7.46771326e-02,6.40470933e-02,6.78874385e-02,1.34439120e-01,1.80967315e-02,1.35114633e-01,1.51111025e-02,5.00000000e-04
98,34.932930,8.74633237e-02,6.66646811e-02,6.73350592e-02,7.11545936e-02,1.30797830e-01,1.85990776e-02,1.18732016e-01,1.44528898e-02,5.00000000e-04
99,34.305623,8.97654264e-02,6.86555412e-02,8.37293014e-02,9.01088437e-02,1.34854735e-01,1.84487190e-02,1.37146880e-01,1.49551636e-02,2.50000000e-04
