epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
65,34.234593,1.09056347e-01,8.40146152e-02,8.42300726e-02,9.22291850e-02,1.70526459e-01,1.22857042e-02,1.51688648e-01,1.03266284e-02,1.00000000e-03
66,34.217810,9.50701356e-02,7.31693156e-02,2.21309837e-01,2.39007532e-01,1.57392858e-01,1.21608695e-02,1.79323652e-01,1.03468349e-02,1.00000000e-03
67,34.456427,1.25292375e-01,9.68586917e-02,6.32854895e-02,6.67500119e-02,1.67023654e-01,1.25627729e-02,1.64866583e-01,1.02025313e-02,1.00000000e-03
68,34.631297,9.97624058e-02,7.67208244e-02,9.42065883e-02,1.00298581e-01,1.56595746e-01,1.20254442e-02,1.41411059e-01,1.01570537e-02,1.00000000e-03
69,34.321099,1.00862891e-01,7.73978378e-02,1.04231784e-01,1.09530345e-01,1.52725822e-01,1.19218464e-02,1.61186019e-01,1.02734863e-02,1.00000000e-03
70,34.346685,1.04882650e-01,8.05799354e-02,7.53995434e-02,8.03805072e-02,1.56765305e-01,1.19547299e-02,1.35243542e-01,9.79529392e-03,1.00000000e-03
71,34.468324,9.52159868e-02,7.29744029e-02,1.15806980e-01,1.23388469e-01,1.54351468e-01,1.19105452e-02,1.69416483e-01,1.01811754e-02,1.00000000e-03
72,34.740210,1.04654147e-01,8.06025839e-02,7.10385944e-02,7.61177438e-02,1.59280776e-01,1.22829794e-02,1.32931881e-01,9.80417254e-03,1.00000000e-03
73,34.964852,1.04929408e-01,8.06583575e-02,6.92162736e-02,7.35137267e-02,1.46929076e-01,1.17550251e-02,1.35196387e-01,9.76005931e-03,1.00000000e-03
74,34.498184,9.44415960e-02,7.24401907e-02,6.98313355e-02,7.42395720e-02,1.52330779e-01,1.16907440e-02,1.81886837e-01,1.02794951e-02,1.00000000e-03
75,34.330978,9.51318739e-02,7.29234171e-02,8.58197593e-02,9.20012590e-02,1.50093863e-01,1.18238566e-02,1.50506961e-01,1.00486266e-02,1.00000000e-03
76,36.053977,9.72853139e-02,7.47998137e-02,7.32362623e-02,7.71228276e-02,1.50640783e-01,1.17784822e-02,1.28405440e-01,9.71712219e-03,1.00000000e-03
77,34.345631,9.72731463e-02,7.45904585e-02,2.81777647e-01,3.01654820e-01,1.50402088e-01,1.18318194e-02,1.48893458e-01,1.02028868e-02,1.00000000e-03
78,34.404784,1.00322636e-01,7.66883499e-02,7.35720678e-02,7.75402428e-02,1.58652352e-01,1.19825245e-02,1.15782896e-01,9.63015426e-03,1.00000000e-03
79,34.476983,1.03228481e-01,7.94560775e-02,9.78655246e-02,1.05807381e-01,1.53879805e-01,1.18500580e-02,1.39070405e-01,9.92124460e-03,1.00000000e-03
80,34.235195,8.78570821e-02,6.72057663e-02,6.90384784e-02,7.34580649e-02,1.49296113e-01,1.19208235e-02,1.49868820e-01,9.74039427e-03,1.00000000e-03
81,34.090297,8.97448008e-02,6.87713010e-02,7.73947692e-02,8.33528125e-02,1.43904230e-01,1.16997804e-02,1.18649004e-01,9.71096982e-03,1.00000000e-03
82,34.731956,1.00884617e-01,7.74058620e-02,1.60416809e-01,1.69382932e-01,1.49424525e-01,1.19175116e-02,1.20116292e-01,9.83050309e-03,1.00000000e-03
83,33.916650,9.50947070e-02,7.28678521e-02,1.38286338e-01,1.46669330e-01,1.50281414e-01,1.19376006e-02,1.21918953e-01,9.62433012e-03,1.00000000e-03
84,33.951935,1.03712939e-01,7.97606000e-02,7.48767963e-02,7.91448962e-02,1.51399232e-01,1.16928551e-02,1.28685870e-01,9.70698198e-03,1.00000000e-03
85,33.837527,9.50397148e-02,7.26378922e-02,8.02205531e-02,8.48583505e-02,1.53641977e-01,1.16289595e-02,1.20686141e-01,1.00373941e-02,1.00000000e-03
86,34.088731,9.68351411e-02,7.39722841e-02,8.15888355e-02,8.61447570e-02,1.47394804e-01,1.15472841e-02,1.34693630e-01,9.36866602e-03,1.00000000e-03
87,34.463396,9.09701734e-02,6.97879588e-02,5.99738920e-02,6.38404755e-02,1.42118572e-01,1.16106069e-02,1.43191158e-01,1.00300449e-02,1.00000000e-03
88,34.610057,9.56145708e-02,7.33292167e-02,8.20069682e-02,8.68433902e-02,1.49903206e-01,1.17072120e-02,1.73196939e-01,9.33692195e-03,1.00000000e-03
89,34.486403,8.96265318e-02,6.87955506e-02,1.29066989e-01,1.39352360e-01,1.51170461e-01,1.17360993e-02,1.44047704e-01,1.00046478e-02,1.00000000e-03
